IDs,Organism,Position_F,Identity_F,Position_R,Identity_R,Position_Probe,Identity_Probe
,NA,520648->520672,100%,326045<-326065,100%,258572<-258593,100%
,NA,NA,NA,520752<-520772,100%,326000<-326021,95%
,NA,NA,NA,NA,NA,520707<-520728,100%
CP179143.1,"Mycoplasmoides pneumoniae strain 89807.fasta chromosome, complete genome",243438->243462,100%,243542<-243562,100%,207928<-207949,95%
,NA,258518->258542,100%,258622<-258642,100%,243497<-243518,100%
,NA,520656->520680,100%,326053<-326073,100%,258577<-258598,100%
,NA,NA,NA,520760<-520780,100%,326008<-326029,95%
,NA,NA,NA,NA,NA,520715<-520736,100%
CP179090.1,"Mycoplasmoides pneumoniae strain 89180.fasta chromosome, complete genome",243436->243460,100%,243540<-243560,100%,207926<-207947,95%
,NA,258516->258540,100%,258620<-258640,100%,243495<-243516,100%
,NA,520653->520677,100%,326050<-326070,100%,258575<-258596,100%
,NA,NA,NA,520757<-520777,100%,326005<-326026,95%
,NA,NA,NA,NA,NA,520712<-520733,100%
CP017343.1,"Mycoplasmoides pneumoniae strain M129 2002 chromosome, complete genome",165948->165972,100%,166052<-166072,100%,130430<-130451,95%
,NA,181028->181052,100%,181132<-181152,100%,166007<-166028,100%
,NA,443411->443435,100%,248559<-248579,100%,181087<-181108,100%
,NA,NA,NA,443515<-443535,100%,248514<-248535,95%
,NA,NA,NA,NA,NA,443470<-443491,100%
CP179147.1,"Mycoplasmoides pneumoniae strain 89825.fasta chromosome, complete genome",487144->487168,100%,487248<-487268,100%,451579<-451600,95%
,NA,500684->500708,100%,500788<-500808,100%,487203<-487224,100%
,NA,762851->762875,100%,568083<-568103,100%,500743<-500764,100%
,NA,NA,NA,762955<-762975,100%,568038<-568059,95%
,NA,NA,NA,NA,NA,762910<-762931,100%
CP039769.1,"Mycoplasmoides pneumoniae strain 15-969 chromosome, complete genome",165939->165963,100%,166043<-166063,100%,130429<-130450,95%
,NA,181019->181043,100%,181123<-181143,100%,165998<-166019,100%
,NA,443237->443261,100%,248550<-248570,100%,181078<-181099,100%
,NA,NA,NA,443341<-443361,100%,248505<-248526,95%
,NA,NA,NA,NA,NA,443296<-443317,100%
CP179060.1,"Mycoplasmoides pneumoniae strain 88587.fasta chromosome, complete genome",243440->243464,100%,243544<-243564,100%,207932<-207953,95%
,NA,258520->258544,100%,258624<-258644,100%,243499<-243520,100%
,NA,520661->520685,100%,326059<-326079,100%,258579<-258600,100%
,NA,NA,NA,520765<-520785,100%,326014<-326035,95%
,NA,NA,NA,NA,NA,520720<-520741,100%
CP179168.1,"Mycoplasmoides pneumoniae strain 90145.fasta chromosome, complete genome",243440->243464,100%,243544<-243564,100%,207930<-207951,95%
,NA,258520->258544,100%,258624<-258644,100%,243499<-243520,100%
,NA,520662->520686,100%,520766<-520786,100%,258579<-258600,100%
,NA,NA,NA,NA,NA,520721<-520742,100%
NZ_CP039778.1,"Mycoplasmoides pneumoniae strain 11-634 chromosome, complete genome",165927->165951,100%,166031<-166051,100%,130417<-130438,95%
,NA,181007->181031,100%,181111<-181131,100%,165986<-166007,100%
,NA,443363->443387,100%,248556<-248576,100%,181066<-181087,100%
,NA,NA,NA,443467<-443487,100%,248511<-248532,95%
,NA,NA,NA,NA,NA,443422<-443443,100%
CP178940.1,"Mycoplasmoides pneumoniae strain 87341.fasta chromosome, complete genome",243442->243466,100%,243546<-243566,100%,207932<-207953,95%
,NA,258522->258546,100%,258626<-258646,100%,243501<-243522,100%
,NA,520660->520684,100%,326057<-326077,100%,258581<-258602,100%
,NA,NA,NA,520764<-520784,100%,326012<-326033,95%
,NA,NA,NA,NA,NA,520719<-520740,100%
NZ_CP039788.1,"Mycoplasmoides pneumoniae strain 10-1059 chromosome, complete genome",165936->165960,100%,166040<-166060,100%,130418<-130439,95%
,NA,181016->181040,100%,181120<-181140,100%,165995<-166016,100%
,NA,443401->443425,100%,248507<-248527,100%,181075<-181096,100%
,NA,NA,NA,443505<-443525,100%,248462<-248483,95%
,NA,NA,NA,NA,NA,443460<-443481,100%
CP179043.1,"Mycoplasmoides pneumoniae strain 88255.fasta chromosome, complete genome",165963->165987,100%,166067<-166087,100%,130453<-130474,95%
,NA,181043->181067,100%,181147<-181167,100%,166022<-166043,100%
,NA,443365->443389,100%,248630<-248650,100%,181102<-181123,100%
,NA,NA,NA,443469<-443489,100%,248585<-248606,95%
,NA,NA,NA,NA,NA,443424<-443445,100%
NZ_CP039784.1,"Mycoplasmoides pneumoniae strain 10-1385 chromosome, complete genome",166019->166043,100%,166123<-166143,100%,130434<-130455,95%
,NA,179559->179583,100%,179663<-179683,100%,166078<-166099,100%
,NA,441556->441580,100%,246918<-246938,100%,179618<-179639,100%
,NA,NA,NA,441660<-441680,100%,246873<-246894,95%
,NA,NA,NA,NA,NA,441615<-441636,100%
NZ_CP039774.1,"Mycoplasmoides pneumoniae strain 12-060 chromosome, complete genome",165949->165973,100%,166053<-166073,100%,130441<-130462,95%
,NA,181029->181053,100%,181133<-181153,100%,166008<-166029,100%
,NA,443306->443330,100%,248571<-248591,100%,181088<-181109,100%
,NA,NA,NA,443410<-443430,100%,248526<-248547,95%
,NA,NA,NA,NA,NA,443365<-443386,100%
CP179164.1,"Mycoplasmoides pneumoniae strain 89975.fasta chromosome, complete genome",243440->243464,100%,243544<-243564,100%,207930<-207951,95%
,NA,258520->258544,100%,258624<-258644,100%,243499<-243520,100%
,NA,520664->520688,100%,326061<-326081,100%,258579<-258600,100%
,NA,NA,NA,520768<-520788,100%,326016<-326037,95%
,NA,NA,NA,NA,NA,520723<-520744,100%
CP014267.1,"Mycoplasmoides pneumoniae strain C267, complete genome",165950->165974,100%,166054<-166074,100%,130438<-130459,95%
,NA,181030->181054,100%,181134<-181154,100%,166009<-166030,100%
,NA,443364->443388,100%,248569<-248589,100%,181089<-181110,100%
,NA,NA,NA,443468<-443488,100%,248524<-248545,95%
,NA,NA,NA,NA,NA,443423<-443444,100%
CP020712.1,"Mycoplasmoides pneumoniae strain S12-tet-R chromosome, complete genome",165951->165975,100%,166055<-166075,100%,166010<-166031,100%
,NA,181031->181055,100%,181135<-181155,100%,181090<-181111,100%
,NA,443320->443344,100%,248564<-248584,100%,248519<-248540,95%
,NA,NA,NA,443424<-443444,100%,443379<-443400,100%
CP178948.1,"Mycoplasmoides pneumoniae strain 87429.fasta chromosome, complete genome",243440->243464,100%,243544<-243564,100%,207932<-207953,95%
,NA,258520->258544,100%,258624<-258644,100%,243499<-243520,100%
,NA,520664->520688,100%,326061<-326081,100%,258579<-258600,100%
,NA,NA,NA,520768<-520788,100%,326016<-326037,95%
,NA,NA,NA,NA,NA,520723<-520744,100%
CP179160.1,"Mycoplasmoides pneumoniae strain 89925.fasta chromosome, complete genome",243449->243473,100%,243553<-243573,100%,207934<-207955,95%
,NA,258529->258553,100%,258633<-258653,100%,243508<-243529,100%
,NA,520674->520698,100%,326061<-326081,100%,258588<-258609,100%
,NA,NA,NA,520778<-520798,100%,326016<-326037,95%
,NA,NA,NA,NA,NA,520733<-520754,100%
NZ_CP039770.1,"Mycoplasmoides pneumoniae strain 15-885 chromosome, complete genome",165927->165951,100%,166031<-166051,100%,130417<-130438,95%
,NA,181007->181031,100%,181111<-181131,100%,165986<-166007,100%
,NA,443232->443256,100%,248558<-248578,100%,181066<-181087,100%
,NA,NA,NA,443336<-443356,100%,248513<-248534,95%
,NA,NA,NA,NA,NA,443291<-443312,100%
CP179047.1,"Mycoplasmoides pneumoniae strain 88423.fasta chromosome, complete genome",487151->487175,100%,487255<-487275,100%,451570<-451591,95%
,NA,500691->500715,100%,500795<-500815,100%,487210<-487231,100%
,NA,762846->762870,100%,568080<-568100,100%,500750<-500771,100%
,NA,NA,NA,762950<-762970,100%,568035<-568056,95%
,NA,NA,NA,NA,NA,762905<-762926,100%
NZ_CP039780.1,"Mycoplasmoides pneumoniae strain 11-212 chromosome, complete genome",165933->165957,100%,166037<-166057,100%,130425<-130446,95%
,NA,181013->181037,100%,181117<-181137,100%,165992<-166013,100%
,NA,443335->443359,100%,248552<-248572,100%,181072<-181093,100%
,NA,NA,NA,443439<-443459,100%,248507<-248528,95%
,NA,NA,NA,NA,NA,443394<-443415,100%
CP179101.1,"Mycoplasmoides pneumoniae strain 89209.fasta chromosome, complete genome",243440->243464,100%,243544<-243564,100%,207932<-207953,95%
,NA,258520->258544,100%,258624<-258644,100%,243499<-243520,100%
,NA,520653->520677,100%,326050<-326070,100%,258579<-258600,100%
,NA,NA,NA,520757<-520777,100%,326005<-326026,95%
,NA,NA,NA,NA,NA,520712<-520733,100%
CP178929.1,"Mycoplasmoides pneumoniae strain 87315.fasta chromosome, complete genome",165925->165949,100%,166029<-166049,100%,130416<-130437,95%
,NA,181005->181029,100%,181109<-181129,100%,165984<-166005,100%
,NA,443233->443257,100%,248557<-248577,100%,181064<-181085,100%
,NA,NA,NA,443337<-443357,100%,248512<-248533,95%
,NA,NA,NA,NA,NA,443292<-443313,100%
AP035800.1,"Mycoplasmoides pneumoniae TA9617 DNA, complete genome",165978->166002,100%,166082<-166102,100%,130409<-130430,95%
,NA,179518->179542,100%,179622<-179642,100%,166037<-166058,100%
,NA,441626->441650,100%,246883<-246903,100%,179577<-179598,100%
,NA,NA,NA,441730<-441750,100%,246838<-246859,95%
,NA,NA,NA,NA,NA,441685<-441706,100%
CP179026.1,"Mycoplasmoides pneumoniae strain 88076.fasta chromosome, complete genome",243450->243474,100%,243554<-243574,100%,207932<-207953,95%
,NA,258530->258554,100%,258634<-258654,100%,243509<-243530,100%
,NA,520666->520690,100%,326063<-326083,100%,258589<-258610,100%
,NA,NA,NA,520770<-520790,100%,326018<-326039,95%
,NA,NA,NA,NA,NA,520725<-520746,100%
CP179022.1,"Mycoplasmoides pneumoniae strain 88067.fasta chromosome, complete genome",487142->487166,100%,487246<-487266,100%,451575<-451596,95%
,NA,500682->500706,100%,500786<-500806,100%,487201<-487222,100%
,NA,762847->762871,100%,568083<-568103,100%,500741<-500762,100%
,NA,NA,NA,762951<-762971,100%,568038<-568059,95%
,NA,NA,NA,NA,NA,762906<-762927,100%
CP179105.1,"Mycoplasmoides pneumoniae strain 89226.fasta chromosome, complete genome",243448->243472,100%,243552<-243572,100%,207932<-207953,95%
,NA,258529->258553,100%,258633<-258653,100%,243507<-243528,100%
,NA,520664->520688,100%,326060<-326080,100%,258588<-258609,100%
,NA,NA,NA,520768<-520788,100%,326015<-326036,95%
,NA,NA,NA,NA,NA,520723<-520744,100%
CM152639.1,"Mycoplasmoides pneumoniae strain TWMP592_2025 isolate MP592_2025 chromosome, complete sequence, whole genome shotgun sequence",165921->165945,100%,166026<-166046,100%,130412<-130433,95%
,NA,181004->181028,100%,181109<-181129,100%,165981<-166002,100%
,NA,443401->443425,100%,248551<-248571,100%,181064<-181085,100%
,NA,NA,NA,443505<-443525,100%,248506<-248527,95%
,NA,NA,NA,NA,NA,443460<-443481,100%
AP017319.1,"Mycoplasma pneumoniae DNA, complete genome, strain: KCH-405",165957->165981,100%,166061<-166081,100%,130398<-130419,95%
,NA,179497->179521,100%,179601<-179621,100%,166016<-166037,100%
,NA,441537->441561,100%,246865<-246885,100%,179556<-179577,100%
,NA,NA,NA,441641<-441661,100%,246820<-246841,95%
,NA,NA,NA,NA,NA,441596<-441617,100%
NZ_CP017337.1,"Mycoplasmoides pneumoniae strain 1006 chromosome, complete genome",165958->165982,100%,166062<-166082,100%,130386<-130407,95%
,NA,179499->179523,100%,179603<-179623,100%,166017<-166038,100%
,NA,441611->441635,100%,246880<-246900,100%,179558<-179579,100%
,NA,NA,NA,441715<-441735,100%,246835<-246856,95%
,NA,NA,NA,NA,NA,441670<-441691,100%
NZ_CP020692.1,"Mycoplasmoides pneumoniae strain S55-tet-R chromosome, complete genome",165918->165942,100%,166022<-166042,100%,130399<-130420,95%
,NA,180998->181022,100%,181102<-181122,100%,165977<-165998,100%
,NA,442852->442876,100%,248529<-248549,100%,181057<-181078,100%
,NA,NA,NA,442956<-442976,100%,248484<-248505,95%
,NA,NA,NA,NA,NA,442911<-442932,100%
CM152631.1,"Mycoplasmoides pneumoniae strain TWMP514_2025 isolate MP514_2025 chromosome, complete sequence, whole genome shotgun sequence",165855->165879,100%,165959<-165979,100%,130346<-130367,95%
,NA,180938->180962,100%,181043<-181063,100%,165914<-165935,100%
,NA,443256->443280,100%,248478<-248498,100%,180998<-181019,100%
,NA,NA,NA,443360<-443380,100%,248433<-248454,95%
,NA,NA,NA,NA,NA,443315<-443336,100%
CP178925.1,"Mycoplasmoides pneumoniae strain 87310.fasta chromosome, complete genome",165948->165972,100%,166052<-166072,100%,130434<-130455,95%
,NA,181028->181052,100%,181132<-181152,100%,166007<-166028,100%
,NA,443348->443372,100%,248568<-248588,100%,181087<-181108,100%
,NA,NA,NA,443452<-443472,100%,248523<-248544,95%
,NA,NA,NA,NA,NA,443407<-443428,100%
CM152635.1,"Mycoplasmoides pneumoniae strain TWMP811_2025 isolate MP811_2025 chromosome, complete sequence, whole genome shotgun sequence",165933->165957,100%,166037<-166057,100%,130421<-130442,95%
,NA,181015->181039,100%,181120<-181140,100%,165992<-166013,100%
,NA,443525->443549,100%,248558<-248578,100%,181075<-181096,100%
,NA,NA,NA,443629<-443649,100%,248513<-248534,95%
,NA,NA,NA,NA,NA,443584<-443605,100%
CP179109.1,"Mycoplasmoides pneumoniae strain 89248.fasta chromosome, complete genome",243442->243466,100%,243546<-243566,100%,207932<-207953,95%
,NA,258522->258546,100%,258626<-258646,100%,243501<-243522,100%
,NA,520661->520685,100%,326058<-326078,100%,258581<-258602,100%
,NA,NA,NA,520765<-520785,100%,326013<-326034,95%
,NA,NA,NA,NA,NA,520720<-520741,100%
NZ_CP017333.1,"Mycoplasmoides pneumoniae strain FL1 chromosome, complete genome",165949->165973,100%,166053<-166073,100%,130427<-130448,95%
,NA,181030->181054,100%,181134<-181154,100%,166008<-166029,100%
,NA,443431->443455,100%,248564<-248584,100%,181089<-181110,100%
,NA,NA,NA,443535<-443555,100%,248519<-248540,95%
,NA,NA,NA,NA,NA,443490<-443511,100%
AP035794.1,"Mycoplasmoides pneumoniae TA6464 DNA, complete genome",165962->165986,100%,166066<-166086,100%,130427<-130448,95%
,NA,181042->181066,100%,181146<-181166,100%,166021<-166042,100%
,NA,443439->443463,100%,248575<-248595,100%,181101<-181122,100%
,NA,NA,NA,443543<-443563,100%,248530<-248551,95%
,NA,NA,NA,NA,NA,443498<-443519,100%
CP179001.1,"Mycoplasmoides pneumoniae strain 87943.fasta chromosome, complete genome",243437->243461,100%,243541<-243561,100%,207927<-207948,95%
,NA,258517->258541,100%,258621<-258641,100%,243496<-243517,100%
,NA,520659->520683,100%,326056<-326076,100%,258576<-258597,100%
,NA,NA,NA,520763<-520783,100%,326011<-326032,95%
,NA,NA,NA,NA,NA,520718<-520739,100%
CP179005.1,"Mycoplasmoides pneumoniae strain 87961.fasta chromosome, complete genome",243444->243468,100%,243548<-243568,100%,207934<-207955,95%
,NA,258524->258548,100%,258628<-258648,100%,243503<-243524,100%
,NA,520667->520691,100%,326064<-326084,100%,258583<-258604,100%
,NA,NA,NA,520771<-520791,100%,326019<-326040,95%
,NA,NA,NA,NA,NA,520726<-520747,100%
CP179122.1,"Mycoplasmoides pneumoniae strain 89336.fasta chromosome, complete genome",166034->166058,100%,166138<-166158,100%,130467<-130488,95%
,NA,179574->179598,100%,179678<-179698,100%,166093<-166114,100%
,NA,441644->441668,100%,246936<-246956,100%,179633<-179654,100%
,NA,NA,NA,441748<-441768,100%,246891<-246912,95%
,NA,NA,NA,NA,NA,441703<-441724,100%
AP035798.1,"Mycoplasmoides pneumoniae TA9308 DNA, complete genome",165940->165964,100%,166044<-166064,100%,130426<-130447,95%
,NA,181020->181044,100%,181124<-181144,100%,165999<-166020,100%
,NA,443434->443458,100%,248555<-248575,100%,181079<-181100,100%
,NA,NA,NA,443538<-443558,100%,248510<-248531,95%
,NA,NA,NA,NA,NA,443493<-443514,100%
CP179009.1,"Mycoplasmoides pneumoniae strain 87977.fasta chromosome, complete genome",165949->165973,100%,166053<-166073,100%,130439<-130460,95%
,NA,181029->181053,100%,181133<-181153,100%,166008<-166029,100%
,NA,443351->443375,100%,248568<-248588,100%,181088<-181109,100%
,NA,NA,NA,443455<-443475,100%,248523<-248544,95%
,NA,NA,NA,NA,NA,443410<-443431,100%
NZ_AP035794.1,"Mycoplasmoides pneumoniae strain TA6464 chromosome, complete genome",165962->165986,100%,166066<-166086,100%,130427<-130448,95%
,NA,181042->181066,100%,181146<-181166,100%,166021<-166042,100%
,NA,443439->443463,100%,248575<-248595,100%,181101<-181122,100%
,NA,NA,NA,443543<-443563,100%,248530<-248551,95%
,NA,NA,NA,NA,NA,443498<-443519,100%
CP178930.1,"Mycoplasmoides pneumoniae strain 87320.fasta chromosome, complete genome",243446->243470,100%,243550<-243570,100%,207932<-207953,95%
,NA,258526->258550,100%,258630<-258650,100%,243505<-243526,100%
,NA,520659->520683,100%,326055<-326075,100%,258585<-258606,100%
,NA,NA,NA,520763<-520783,100%,326010<-326031,95%
,NA,NA,NA,NA,NA,520718<-520739,100%
CP178934.1,"Mycoplasmoides pneumoniae strain 87326.fasta chromosome, complete genome",243442->243466,100%,243546<-243566,100%,207932<-207953,95%
,NA,258522->258546,100%,258626<-258646,100%,243501<-243522,100%
,NA,520657->520681,100%,326054<-326074,100%,258581<-258602,100%
,NA,NA,NA,520761<-520781,100%,326009<-326030,95%
,NA,NA,NA,NA,NA,520716<-520737,100%
CM152628.1,"Mycoplasmoides pneumoniae strain TWMP374_2025 isolate MP374_2025 chromosome, complete sequence, whole genome shotgun sequence",165921->165945,100%,166025<-166045,100%,130411<-130432,95%
,NA,181003->181027,100%,181108<-181128,100%,165980<-166001,100%
,NA,443415->443439,100%,248542<-248562,100%,181063<-181084,100%
,NA,NA,NA,443519<-443539,100%,248497<-248518,95%
,NA,NA,NA,NA,NA,443474<-443495,100%
CP179114.1,"Mycoplasmoides pneumoniae strain 89286.fasta chromosome, complete genome",243444->243468,100%,243548<-243568,100%,207932<-207953,95%
,NA,258525->258549,100%,258629<-258649,100%,243503<-243524,100%
,NA,520661->520685,100%,326057<-326077,100%,258584<-258605,100%
,NA,NA,NA,520765<-520785,100%,326012<-326033,95%
,NA,NA,NA,NA,NA,520720<-520741,100%
CP179033.1,"Mycoplasmoides pneumoniae strain 88192.fasta chromosome, complete genome",243443->243467,100%,243547<-243567,100%,207933<-207954,95%
,NA,258523->258547,100%,258627<-258647,100%,243502<-243523,100%
,NA,520663->520687,100%,326060<-326080,100%,258582<-258603,100%
,NA,NA,NA,520767<-520787,100%,326015<-326036,95%
,NA,NA,NA,NA,NA,520722<-520743,100%
NZ_AP035798.1,"Mycoplasmoides pneumoniae strain TA9308 chromosome, complete genome",165940->165964,100%,166044<-166064,100%,130426<-130447,95%
,NA,181020->181044,100%,181124<-181144,100%,165999<-166020,100%
,NA,443434->443458,100%,248555<-248575,100%,181079<-181100,100%
,NA,NA,NA,443538<-443558,100%,248510<-248531,95%
,NA,NA,NA,NA,NA,443493<-443514,100%
CP179037.1,"Mycoplasmoides pneumoniae strain 88223.fasta chromosome, complete genome",243442->243466,100%,243546<-243566,100%,207932<-207953,95%
,NA,258522->258546,100%,258626<-258646,100%,243501<-243522,100%
,NA,520658->520682,100%,326055<-326075,100%,258581<-258602,100%
,NA,NA,NA,520762<-520782,100%,326010<-326031,95%
,NA,NA,NA,NA,NA,520717<-520738,100%
CP179018.1,"Mycoplasmoides pneumoniae strain 88053.fasta chromosome, complete genome",243444->243468,100%,243548<-243568,100%,207932<-207953,95%
,NA,258524->258548,100%,258628<-258648,100%,243503<-243524,100%
,NA,520665->520689,100%,326062<-326082,100%,258583<-258604,100%
,NA,NA,NA,520769<-520789,100%,326017<-326038,95%
,NA,NA,NA,NA,NA,520724<-520745,100%
NZ_AP035800.1,"Mycoplasmoides pneumoniae strain TA9617 chromosome, complete genome",165978->166002,100%,166082<-166102,100%,130409<-130430,95%
,NA,179518->179542,100%,179622<-179642,100%,166037<-166058,100%
,NA,441626->441650,100%,246883<-246903,100%,179577<-179598,100%
,NA,NA,NA,441730<-441750,100%,246838<-246859,95%
,NA,NA,NA,NA,NA,441685<-441706,100%
CP020692.1,"Mycoplasmoides pneumoniae strain S55-tet-R chromosome, complete genome",165918->165942,100%,166022<-166042,100%,130399<-130420,95%
,NA,180998->181022,100%,181102<-181122,100%,165977<-165998,100%
,NA,442852->442876,100%,248529<-248549,100%,181057<-181078,100%
,NA,NA,NA,442956<-442976,100%,248484<-248505,95%
,NA,NA,NA,NA,NA,442911<-442932,100%
CP017337.1,"Mycoplasmoides pneumoniae strain 1006 chromosome, complete genome",165958->165982,100%,166062<-166082,100%,130386<-130407,95%
,NA,179499->179523,100%,179603<-179623,100%,166017<-166038,100%
,NA,441611->441635,100%,246880<-246900,100%,179558<-179579,100%
,NA,NA,NA,441715<-441735,100%,246835<-246856,95%
,NA,NA,NA,NA,NA,441670<-441691,100%
NZ_AP017319.1,"Mycoplasmoides pneumoniae strain KCH-405 chromosome, complete genome",165957->165981,100%,166061<-166081,100%,130398<-130419,95%
,NA,179497->179521,100%,179601<-179621,100%,166016<-166037,100%
,NA,441537->441561,100%,246865<-246885,100%,179556<-179577,100%
,NA,NA,NA,441641<-441661,100%,246820<-246841,95%
,NA,NA,NA,NA,NA,441596<-441617,100%
CP179133.1,"Mycoplasmoides pneumoniae strain 89599.fasta chromosome, complete genome",243440->243464,100%,243544<-243564,100%,207932<-207953,95%
,NA,258520->258544,100%,258624<-258644,100%,243499<-243520,100%
,NA,520658->520682,100%,326054<-326074,100%,258579<-258600,100%
,NA,NA,NA,520762<-520782,100%,326009<-326030,95%
,NA,NA,NA,NA,NA,520717<-520738,100%
CP179014.1,"Mycoplasmoides pneumoniae strain 88029.fasta chromosome, complete genome",243444->243468,100%,243548<-243568,100%,207932<-207953,95%
,NA,258524->258548,100%,258628<-258648,100%,243503<-243524,100%
,NA,520671->520695,100%,326068<-326088,100%,258583<-258604,100%
,NA,NA,NA,520775<-520795,100%,326023<-326044,95%
,NA,NA,NA,NA,NA,520730<-520751,100%
CP017333.1,"Mycoplasmoides pneumoniae strain FL1 chromosome, complete genome",165949->165973,100%,166053<-166073,100%,130427<-130448,95%
,NA,181030->181054,100%,181134<-181154,100%,166008<-166029,100%
,NA,443431->443455,100%,248564<-248584,100%,181089<-181110,100%
,NA,NA,NA,443535<-443555,100%,248519<-248540,95%
,NA,NA,NA,NA,NA,443490<-443511,100%
CP179137.1,"Mycoplasmoides pneumoniae strain 89630.fasta chromosome, complete genome",243442->243466,100%,243546<-243566,100%,207932<-207953,95%
,NA,258522->258546,100%,258626<-258646,100%,243501<-243522,100%
,NA,520667->520691,100%,326063<-326083,100%,258581<-258602,100%
,NA,NA,NA,520771<-520791,100%,326018<-326039,95%
,NA,NA,NA,NA,NA,520726<-520747,100%
CP039778.1,"Mycoplasmoides pneumoniae strain 11-634 chromosome, complete genome",165927->165951,100%,166031<-166051,100%,130417<-130438,95%
,NA,181007->181031,100%,181111<-181131,100%,165986<-166007,100%
,NA,443363->443387,100%,248556<-248576,100%,181066<-181087,100%
,NA,NA,NA,443467<-443487,100%,248511<-248532,95%
,NA,NA,NA,NA,NA,443422<-443443,100%
CP179081.1,"Mycoplasmoides pneumoniae strain 88841.fasta chromosome, complete genome",165931->165955,100%,166035<-166055,100%,130419<-130440,95%
,NA,181011->181035,100%,181115<-181135,100%,165990<-166011,100%
,NA,443344->443368,100%,248549<-248569,100%,181070<-181091,100%
,NA,NA,NA,443448<-443468,100%,248504<-248525,95%
,NA,NA,NA,NA,NA,443403<-443424,100%
CP039788.1,"Mycoplasmoides pneumoniae strain 10-1059 chromosome, complete genome",165936->165960,100%,166040<-166060,100%,130418<-130439,95%
,NA,181016->181040,100%,181120<-181140,100%,165995<-166016,100%
,NA,443401->443425,100%,248507<-248527,100%,181075<-181096,100%
,NA,NA,NA,443505<-443525,100%,248462<-248483,95%
,NA,NA,NA,NA,NA,443460<-443481,100%
CP179152.1,"Mycoplasmoides pneumoniae strain 89841.fasta chromosome, complete genome",165852->165876,100%,165956<-165976,100%,130342<-130363,95%
,NA,180932->180956,100%,181036<-181056,100%,165911<-165932,100%
,NA,443276->443300,100%,248481<-248501,100%,180991<-181012,100%
,NA,NA,NA,443380<-443400,100%,248436<-248457,95%
,NA,NA,NA,NA,NA,443335<-443356,100%
CP179085.1,"Mycoplasmoides pneumoniae strain 89077.fasta chromosome, complete genome",165852->165876,100%,165956<-165976,100%,130342<-130363,95%
,NA,180932->180956,100%,181036<-181056,100%,165911<-165932,100%
,NA,443273->443297,100%,248474<-248494,100%,180991<-181012,100%
,NA,NA,NA,443377<-443397,100%,248429<-248450,95%
,NA,NA,NA,NA,NA,443332<-443353,100%
